635nm,520nm,405nm,target
30.3184,30.3012,30.2745,1
30.3488,30.3322,30.3104,1
30.3604,30.3452,30.3233,1
30.336,30.3203,30.293,1
30.3343,30.3191,30.2976,1
30.379,30.3626,30.3413,1
30.4155,30.3996,30.3783,1
30.4189,30.4036,30.3768,1
30.3578,30.3405,30.3129,1
30.4537,30.4372,30.4162,1
30.4224,30.4053,30.3809,1
30.4131,30.3968,30.3733,1
30.4623,30.4471,30.4236,1
30.4058,30.3891,30.3687,1
30.4443,30.427,30.4016,1
30.4401,30.4238,30.3992,1
30.5068,30.4912,30.4686,1
30.5,30.4822,30.4617,1
30.4597,30.4441,30.4183,1
30.5369,30.5201,30.4946,1
30.517,30.4996,30.4752,1
30.5032,30.4879,30.461,1
30.575,30.5582,30.5354,1
30.5358,30.5205,30.5,1
30.5465,30.5285,30.5006,1
30.5833,30.5676,30.543,1
30.5464,30.5299,30.5049,1
30.5639,30.5484,30.5244,1
30.6095,30.5923,30.5702,1
29.67816706,29.61559093,29.90599432,1
30.42058412,30.5078914,30.32639877,0
30.31830724,30.037912,30.26720779,1
29.95244653,30.40778764,29.97940838,1
30.26174198,29.67821707,30.0403379,1
30.45880767,30.12398438,30.2571155,1
29.81000832,30.20897355,30.35837784,0
29.95099582,30.40511979,30.19412777,0
30.00198008,30.45220174,30.00931193,0
29.8573778,30.11804459,29.97884919,1
30.01633499,29.96756962,30.04682688,0
29.6937796,29.70120755,29.77166254,1
29.91349176,29.71928564,29.76258685,0
30.45101529,30.32554886,30.52715183,1
30.63286701,29.99103112,30.42440138,0
30.49130781,30.29799059,30.08066952,1
30.70844881,30.63346479,30.5285068,0
30.34508593,30.15831956,29.93949771,0
29.88673648,29.73900917,29.61787519,0
30.39099044,29.76703898,29.68416115,1
30.53449587,29.93977666,29.82785132,0
30.1185103,30.19143456,30.52643596,0
30.27927204,30.00265751,30.84240105,1
30.52129207,30.00077004,30.22302109,0
29.75395027,29.6544291,30.1795816,1
29.90744994,30.1568162,29.57596315,1
29.98900143,30.14412973,30.07920769,0
29.99917112,30.25194719,29.91143642,0
30.58928484,30.70901764,30.50426323,0
29.95307904,29.92966044,29.61423685,0
29.78509509,30.18710794,30.29688548,0
30.6244549,30.79592489,30.30839371,0
30.3259505,30.32719723,30.48493985,0
30.44764834,30.47175237,30.13540313,1
30.04250744,30.27713541,30.06277812,0
30.39955948,30.32798179,30.20695203,0
29.9129511,29.72641745,29.84151687,1
30.34256283,30.32236829,30.60607074,0
30.25230555,29.91876069,30.46258438,0
30.21280673,30.02482228,29.44268946,0
29.86084784,30.6369191,30.32018008,0
30.51173487,30.26558771,30.22963998,0
30.52972889,30.43866246,30.60519919,1
29.68147877,29.70562348,29.68620334,1
29.90562794,29.71697748,30.22138084,0
29.74051543,30.37234535,29.86270052,1
30.41227524,30.42297641,29.78549678,1
30.38574292,30.54709718,30.36257898,1
30.32038536,30.53669087,29.76489274,1
30.35935633,30.21069303,30.05337377,0
30.33818192,30.40333802,30.65232634,1
30.35428144,30.42873485,30.28493011,0
30.510048,30.42442853,30.2281928,1
29.77516101,30.09325085,30.09392251,1
30.19609588,30.00419048,30.72800589,1
29.96134845,30.31761503,29.77398074,0
29.83330688,30.31623488,30.39365963,0
30.41756719,30.27435531,29.92642504,1
30.38448838,29.61550205,29.90459145,1
30.35620048,30.32167365,30.10514987,1
30.35528079,30.72638508,30.56192044,0
30.49933642,30.49893093,29.76720938,1
30.34897664,30.57104006,30.56440798,0
30.37854044,30.23394973,30.36149037,1
30.31633972,30.16528058,30.11839316,1
30.24197716,30.06976139,30.19264385,1
30.13582488,30.44745529,29.87159669,0
29.9394407,29.82078187,30.2313156,1
29.67416782,30.39849501,30.6622745,0
30.26314308,30.31432903,30.02996482,0
30.33440866,29.99182356,30.34264634,1
29.73564026,29.76644814,29.78460407,1
30.2621892,30.43891965,29.71750961,1
29.88136139,29.85740538,29.95664593,0
30.37734999,30.5931382,30.05401969,1
30.49582573,30.01121147,30.78067208,1
30.50822817,30.30830104,30.06516654,1
29.78669234,30.21647587,29.70524664,0
29.91081507,30.57795513,29.62099131,0
30.55774393,30.36457347,30.50969357,0
29.74983281,30.00996042,29.68435249,1
30.18725746,30.28151664,29.76363834,1
29.87251351,30.43875193,30.50223808,0
30.51517998,30.66061469,30.28402841,1
30.0567753,30.18066986,30.14802838,1
29.73987302,30.51929949,30.20682837,0
30.27007547,30.27127395,29.72771577,0
29.66704579,30.12481696,30.25933562,1
30.22551133,29.80412603,29.66467791,1
30.38660353,29.89250047,30.73449893,1
30.29128691,29.75807303,29.77739818,0
29.70837377,30.37601757,30.14837715,0
30.26826176,29.83532493,29.93804652,1
30.39536059,30.10126631,30.22869581,0
29.75790296,30.11776715,29.73650324,1
30.11565013,30.13019444,29.56734524,1
30.0719298,30.39863568,30.17647365,1
30.62177899,30.19428651,30.06774467,0
30.48328346,29.93983253,29.88319927,0
30.46416718,30.15774727,30.35480341,1
30.35179557,29.99235854,29.72751187,1
30.31085536,29.72794942,29.67615117,1
30.25049384,30.64873328,30.22758716,0
30.40151452,30.17990597,29.60821069,0
29.86176544,29.9399223,30.23357626,0
30.32100563,29.88964795,29.74190414,1
29.74432038,29.93576006,30.26718674,1
29.81427656,30.58892867,30.00716091,0
29.84165193,30.09028919,29.8852163,1
30.37650491,29.78258913,29.62272164,0
30.57624113,30.50614192,30.6129567,1
29.94600879,30.08928381,30.34683562,1
30.01148553,29.87953147,30.29835631,1
30.26136243,29.9616513,29.72955629,0
30.3651037,30.10215024,30.41076515,1
30.25426204,29.85686973,29.44837247,1
30.0356687,29.87568459,30.35965853,0
30.59052714,30.43663737,30.68218033,1
30.48752253,30.32656238,30.21538992,1
30.4989324,30.57344768,29.78822786,0
29.81180726,29.52526765,29.83732738,1
30.59226814,30.18623661,30.47870216,0
30.40256829,29.89946102,30.24313487,1
30.20955458,30.33212526,30.18778601,1
30.53189737,30.62055823,30.56362667,1
30.41571391,30.33557916,30.48587382,0
29.97283622,30.07013118,30.43659741,0
30.11692075,30.6289208,30.41497699,1
30.42572469,30.41217612,30.65684642,1
29.81035988,30.47515297,30.12867385,1
